LAMMPS (23 Jun 2022 - Update 2)
# 3d Lennard-Jones melt

units		lj
atom_style	atomic
boundary	p p p

lattice	sc 0.5
Lattice spacing in x,y,z = 1.259921 1.259921 1.259921
region		box block 0 20 0 20 0 20
create_box	1 box
Created orthogonal box = (0 0 0) to (25.198421 25.198421 25.198421)
  1 by 2 by 2 MPI processor grid
create_atoms	1 box
Created 8000 atoms
  using lattice units in orthogonal box = (0 0 0) to (25.198421 25.198421 25.198421)
  create_atoms CPU = 0.001 seconds
mass		1 1.0
#read_data	Configuration-PBC.int

velocity        all create 1.5 22233 mom yes rot yes dist gaussian

pair_style	lj/cut 2.5
pair_coeff	1 1 1.0 1.0 2.5

neighbor	0.3 bin
neigh_modify	every 20 delay 0 check no

thermo_style    custom step temp press pe ke etotal vol
thermo          1000
thermo_modify   flush yes

fix		1 all nve

#dump            1 all custom 1000 Data.dump id type xu yu zu
#dump_modify     1 flush yes

#dump		2 all image 25 image.*.jpg type type axes yes 0.8 0.02 view 60 -30
#dump_modify	2 pad 3

#dump		3 all movie 25 movie.mpg type type axes yes 0.8 0.02 view 60 -30
#dump_modify	3 pad 3

run		1000000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update every 20 steps, delay 0 steps, check no
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 2.8
  ghost atom cutoff = 2.8
  binsize = 1.4, bins = 18 18 18
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 2.708 | 2.708 | 2.708 Mbytes
   Step          Temp          Press          PotEng         KinEng         TotEng         Volume    
    171000   1.1795605      0.19290079    -3.2239464      1.7691196     -1.4548268      16000        
    172000   1.165251       0.24312172    -3.2035033      1.747658      -1.4558453      16000        
    173000   1.1612245      0.19480982    -3.1992361      1.741619      -1.4576172      16000        
    174000   1.1656447      0.2077324     -3.2080878      1.7482485     -1.4598393      16000        
    175000   1.1558742      0.259394      -3.1948299      1.7335945     -1.4612354      16000        
    176000   1.1578755      0.24925988    -3.2002059      1.7365962     -1.4636097      16000        
    177000   1.164539       0.21404894    -3.2122442      1.7465901     -1.4656541      16000        
    178000   1.1611248      0.26497439    -3.2094037      1.7414694     -1.4679343      16000        
    179000   1.1694146      0.24146905    -3.2243713      1.7539026     -1.4704687      16000        
    180000   1.1508701      0.26899759    -3.1979131      1.7260894     -1.4718237      16000        
    181000   1.16085        0.19774701    -3.2153351      1.7410573     -1.4742778      16000        
    182000   1.1631911      0.22579138    -3.2207467      1.7445686     -1.4761781      16000        
    183000   1.1553789      0.21296719    -3.2112286      1.7328518     -1.4783768      16000        
    184000   1.1586993      0.20290621    -3.2181492      1.7378317     -1.4803175      16000        
    185000   1.1473907      0.27078913    -3.2029707      1.7208709     -1.4820999      16000        
    186000   1.1481909      0.25030627    -3.2053831      1.7220711     -1.4833121      16000        
    187000   1.158745       0.21637339    -3.2243264      1.7379003     -1.4864261      16000        
    188000   1.1518005      0.19167485    -3.2148708      1.7274847     -1.4873861      16000        
    189000   1.1529885      0.19832071    -3.2186061      1.7292666     -1.4893395      16000        
    190000   1.1575239      0.21926332    -3.2286621      1.7360688     -1.4925933      16000        
    191000   1.1585421      0.21056782    -3.2324782      1.7375959     -1.4948823      16000        
    192000   1.1648613      0.18158111    -3.2436725      1.7470735     -1.496599       16000        
    193000   1.1408694      0.23096656    -3.2091013      1.7110902     -1.4980112      16000        
    194000   1.1472351      0.18099065    -3.2194617      1.7206375     -1.4988242      16000        
    195000   1.1477205      0.19923435    -3.2231712      1.7213656     -1.5018056      16000        
    196000   1.1543585      0.1759419     -3.2350461      1.7313213     -1.5037248      16000        
    197000   1.1417978      0.17685612    -3.2177137      1.7124827     -1.5052311      16000        
    198000   1.137556       0.24183652    -3.2130608      1.7061207     -1.5069401      16000        
    199000   1.1388694      0.18392722    -3.2169309      1.7080905     -1.5088404      16000        
    200000   1.1419806      0.19630656    -3.2238642      1.7127567     -1.5111075      16000        
    201000   1.1461687      0.18632683    -3.2322592      1.7190382     -1.513221       16000        
    202000   1.1352801      0.15220987    -3.2169289      1.7027073     -1.5142216      16000        
    203000   1.1410152      0.20697503    -3.2282624      1.7113088     -1.5169536      16000        
    204000   1.1304247      0.20871184    -3.2133355      1.6954252     -1.5179104      16000        
    205000   1.1357242      0.22014099    -3.2240427      1.7033734     -1.5206693      16000        
    206000   1.1256887      0.184234      -3.2103773      1.6883219     -1.5220554      16000        
    207000   1.1360622      0.24023594    -3.2288558      1.7038804     -1.5249755      16000        
    208000   1.1384425      0.17404671    -3.2333951      1.7074503     -1.5259448      16000        
    209000   1.132311       0.24134159    -3.2263854      1.6982542     -1.5281312      16000        
    210000   1.1361796      0.18750523    -3.2344108      1.7040564     -1.5303545      16000        
    211000   1.1291408      0.20221499    -3.2245879      1.6934994     -1.5310885      16000        
    212000   1.1275102      0.20170195    -3.2236648      1.691054      -1.5326109      16000        
    213000   1.1290547      0.16323102    -3.2280964      1.6933704     -1.534726       16000        
    214000   1.1392751      0.17956864    -3.2455433      1.708699      -1.5368443      16000        
    215000   1.1287836      0.18441492    -3.2314284      1.6929637     -1.5384647      16000        
    216000   1.1280225      0.18421149    -3.2322583      1.6918222     -1.5404361      16000        
    217000   1.1397632      0.12732591    -3.2512579      1.7094311     -1.5418268      16000        
    218000   1.1185213      0.18568137    -3.2216341      1.6775722     -1.5440618      16000        
    219000   1.1275918      0.15534255    -3.2367178      1.6911763     -1.5455415      16000        
    220000   1.1199609      0.19100682    -3.2271119      1.6797314     -1.5473806      16000        
    221000   1.1260125      0.17655145    -3.2383286      1.6888077     -1.549521       16000        
    222000   1.1285087      0.15282249    -3.2443321      1.6925515     -1.5517806      16000        
    223000   1.1280447      0.1846096     -3.2454204      1.6918555     -1.5535649      16000        
    224000   1.1390081      0.1467409     -3.2635154      1.7082986     -1.5552168      16000        
    225000   1.1147611      0.16336665    -3.2281936      1.6719326     -1.556261       16000        
    226000   1.1248166      0.17115413    -3.2453144      1.687014      -1.5583004      16000        
    227000   1.1291842      0.14674108    -3.2535002      1.6935646     -1.5599356      16000        
    228000   1.1172749      0.16918451    -3.2369976      1.6757029     -1.5612946      16000        
    229000   1.1094183      0.2222939     -3.227279       1.6639195     -1.5633595      16000        
    230000   1.1243923      0.17397882    -3.251907       1.6863776     -1.5655294      16000        
    231000   1.1181232      0.17389916    -3.2445195      1.6769752     -1.5675443      16000        
    232000   1.1099246      0.21158967    -3.2333867      1.6646788     -1.5687079      16000        
    233000   1.1150115      0.12506982    -3.2424512      1.6723081     -1.570143       16000        
    234000   1.1044158      0.1380983     -3.2279456      1.6564167     -1.5715289      16000        
    235000   1.1096962      0.17931621    -3.2377599      1.6643362     -1.5734237      16000        
    236000   1.1129551      0.16687446    -3.2441917      1.669224      -1.5749678      16000        
    237000   1.1058314      0.19886596    -3.2351909      1.6585398     -1.5766511      16000        
    238000   1.1158632      0.095342404   -3.2517555      1.6735856     -1.5781699      16000        
    239000   1.1035191      0.11468546    -3.2349458      1.6550718     -1.5798741      16000        
    240000   1.1053378      0.09835727    -3.2389477      1.6577994     -1.5811483      16000        
    241000   1.1127304      0.1350628     -3.253249       1.6688869     -1.5843621      16000        
    242000   1.112596       0.17946423    -3.2549498      1.6686854     -1.5862644      16000        
    243000   1.1084927      0.14946879    -3.2501781      1.6625313     -1.5876469      16000        
    244000   1.1025231      0.16521519    -3.2424038      1.653578      -1.5888258      16000        
    245000   1.1045364      0.14805725    -3.2470133      1.6565975     -1.5904158      16000        
